Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
105	24Sep01	95938	17.48	7.85	7	0.004	8.31	8600
106	01Oct01	101743	13.34	7.89	1046	0.6695	9.75	200
107	08Oct01	102055	10.14	7.75	807.3	0.5167	8.83	740
108	15Oct01	102913	13.38	8	646.1	0.4135	12.04	2620
109	22Oct01	115342	15.54	7.91	1132	0.724	8.61	310
110	29Oct01	102543	7.76	8.08	1186	0.7588	10.45	410
111	05Nov01	115811	###	###	###	###	###	100
112	12Nov01	100552	6.53	7.93	1283	0.8211	10.35	310
113	14Nov01	95509	8.22	7.74	471.2	0.3016	8.87	100
114	19Nov01	###	###	###	0	0	###	###
115	27Nov01	101840	11.27	7.79	13	0.008	9.72	4570
116	03Dec01	111553	7.44	6.91	916	0.586	12.95	630
117	04Dec01	93936	10.22	7.9	1092	0.699	12.22	1310
118	10Dec01	121221	###	###	###	###	###	300
119	12Dec01	104144	6.49	###	1266	0.8103	11.37	630
120	18Dec01	112647	7.48	###	710	0.4544	11.87	4500
121	07Jan02	103802	0.75	###	853	0.546	12.26	520
122	09Jan02	101541	0.35	###	1655	1.059	12	100
123	15Jan02	103500	###	###	###	###	###	1220
124	28Jan02	112226	4.57	8.07	1252	0.801	11.46	200
125	30Jan02	###	###	###	###	###	###	2110
126	04Feb02	103100	###	###	###	###	###	520
127	06Feb02	###	###	###	###	###	###	410
128	12Feb02	112900	###	###	###	###	###	100
129	19Feb02	95800	###	###	###	###	###	100
130	25Feb02	113916	7.3	7.89	1283	0.8212	14.86	740
131	04Mar02	124223	0.47	7.82	1244	0.7963	13.05	630
132	06Mar02	103038	4.17	7.77	1322	0.8462	10.81	510
133	12Mar02	104656	6.47	8.04	1401	0.8964	10.95	520
134	18Mar02	115155	8.25	8.14	1306	0.8359	11.85	100
135	27Mar02	112515	4.41	6.3	2041	1.306	13.49	1190
136	01Apr02	123300	###	###	###	###	###	200
137	04Apr02	102930	5.83	7.84	1246	0.798	18.71	393
138	15Apr02	104020	17.45	8	1100	0.7038	9.44	2063
139	18Apr02	100311	19.75	7.79	1350	0.8643	8.98	309
140	29Apr02	104009	10.5	7.75	1094	0.7002	9.84	4611
141	###	###	###	###	0	0	###	###
142	05Nov02	111220	7.36	7.87	1018	0.6513	9.28	249
143	07Nov02	105909	5.81	7.73	700.5	0.4483	10.85	487
144	11Nov02	113116	10.65	7.95	480	0.3074	10.91	7270
145	13Nov02	103239	7.6	7.98	799	0.5113	9.74	2098
146	19Nov02	110149	7.05	7.94	939	0.6012	10.23	441
147	03Dec02	103902	0.11	7.95	1185	0.7583	13.15	933
148	05Dec02	112251	0.07	7.9	969.4	0.6204	14.58	369
149	10Dec02	101255	0.13	7.86	5	0.003	15.04	776
150	11Dec02	140508	0.61	8.11	1960	1.256	15.16	933
151	17Dec02	104607	2.19	7.75	2147	1.374	11.93	771
152	08Jan03	110321	2.43	8	1725	1.104	12.91	2595
153	15Jan03	111836	-0.18	8.04	1301	0.8327	13.24	573
154	21Jan03	103832	-0.17	7.58	1628	1.042	13.12	708
155	28Jan03	###	###	###	0	0	###	###
156	30Jan03	###	###	###	0	0	###	###
